Actual output,Model 1,Model 2,Model 3,Model 4,Model 5
0,0.079217084,0.09567822,0.17168355,0.177747493,0.056413905
0.016413924,0.092590965,0.10921735,0.21788988,0.177747493,0.056413905
0.116040758,0.12041748,0.09026427,0.13605186,0.174536929,0.145162235
0.155645011,0.14938568,0.15381914,0.20128897,0.197832925,0.25266908
0.166447077,0.16420035,0.14451605,0.17424385,0.168261201,0.111004751
0.187771606,0.2076831,0.16774413,0.17635448,0.17014193,0.324662307
0.189269557,0.18583797,0.1601916,0.2070106,0.200101637,0.158171165
0.194708147,0.19067894,0.17574254,0.20603609,0.239025338,0.139265821
0.229328293,0.2532826,0.30037713,0.31832278,0.355265409,0.372891318
0.257182805,0.24806742,0.24442235,0.27674985,0.279726127,0.284903968
0.272662878,0.2631089,0.23668408,0.2653521,0.309706724,0.372891318
0.286784687,0.27937865,0.2506616,0.25109228,0.263080149,0.234883326
0.290254397,0.30503902,0.3119518,0.3435975,0.379939382,0.456423722
0.290907868,0.28035936,0.2797647,0.31413507,0.292597446,0.324662307
0.302453243,0.30470884,0.3013141,0.2999578,0.295955768,0.30045806
0.307045472,0.31516114,0.32152283,0.32058272,0.346630423,0.372891318
0.308289731,0.31691432,0.27193224,0.3016604,0.242663686,0.291059431
0.317891719,0.30934545,0.2802199,0.27459794,0.322802118,0.372891318
0.320720574,0.31369102,0.29000378,0.32274732,0.349076615,0.372891318
0.327142955,0.33216804,0.33055544,0.32950056,0.355265409,0.372891318
0.351508777,0.35525665,0.34610292,0.33168584,0.355265409,0.372891318
0.362940334,0.3821517,0.31374457,0.3579655,0.28036439,0.368067456
0.391030659,0.3884281,0.35899755,0.3934617,0.40146303,0.456423722
0.420604315,0.44536296,0.4434117,0.54688144,0.382349219,0.372891318
0.441609612,0.43980795,0.41607735,0.44184428,0.401170574,0.372891318
0.465757628,0.4743786,0.47609162,0.46595445,0.462750936,0.456423722
0.490345006,0.4859746,0.4497138,0.4712181,0.419239864,0.456423722
0.494139559,0.4866273,0.41199967,0.4753753,0.483926653,0.456423722
0.515536552,0.5311172,0.46930838,0.4997396,0.48782793,0.444383168
0.573070709,0.55337095,0.5099515,0.47785896,0.380527017,0.372891318
0.578855144,0.5780802,0.5519844,0.5396562,0.455545574,0.138186007
0.589330719,0.58397996,0.55758476,0.55876887,0.564390206,0.556842957
0.591046908,0.5995804,0.597285,0.57803994,0.596619423,0.669204982
0.60452227,0.61096966,0.5840231,0.61463434,0.613411087,0.652685378
0.686794007,0.69178337,0.66763157,0.76997834,0.649010011,0.628058436
0.742236332,0.7394075,0.70677006,0.7814512,0.760717107,0.797678657
0.803113503,0.80038583,0.79291874,0.8048473,0.590539172,0.803320871
0.811539239,0.821568,0.8022865,0.93157274,0.649010011,0.628058436
